,,Priority,Category,Name,Link,Price,,Notes
,14,1,Food,Vanilla bean paste,https://www.amazon.com/Vanilla-Bean-Paste-Baking-Cooking/dp/B07JFLXZQV/ref=sr_1_5?crid=1ENXVAVYTD2PT&dib=eyJ2IjoiMSJ9.NK94jZq13hHZWOA0PoAOBxcYptrKKhdubq-eL8in-ZepISVpMBoFERJlv3TFPA7Jd7W-WbYV2Q4cQai7iD90XItqahCQbqWy4MSbQdBIIqGWBW30L4IzfXiABTrB84OEd9R_UvQDE--u91zirPsZWF17o1l_jFP3B7JIcyG9FGaRhUutWzBDq0mFV2JeOsI-HcLxTSh3bVtbfTZKK9bgdFCHqWCZhl7FHNQqLSjNVt1Z-pJsvbDxErA6lL6Q8euiUzTQy_pttfWeiYyCLOvKHnHakdCU-EM9tZ4jIC5TvqU.g83IW2CgTmpWQ1o7ggExT-EBjDL28vezm-hOstdTqjE&dib_tag=se&keywords=vanilla+bean+paste&qid=1722043505&sprefix=Vanilla+bean+paste%2Caps%2C120&sr=8-5,$14.24,Want,
,14,1,Food,Protein Powder,https://www.amazon.com/NAKED-WHEY-1LB-Ingredient-Undenatured/dp/B0787S4YN1?ref_=ast_sto_dp&th=1,$25.00,Want,
,14,1,Food,Flakey Salt,https://www.amazon.com/Maldon-Sea-Salt-Flakes-ounce/dp/B00017028M/ref=sr_1_5?crid=1GZWS9PU4HTKM&keywords=flaky+sea+salt&qid=1702178582&sprefix=flaky+sea+salt%5C%2Caps%2C112&sr=8-5,$6.28,Want,
,14,1,Food,Popcorn sesaoning,https://www.amazon.com/Snappy-Match-Popcorn-Seasonings-Salts/dp/B0B2KHXFW5?ref_=ast_sto_dp,$39.00,,
,15,1,Games,spider man 2,https://www.amazon.com/MARVELS-SPIDER-MAN-2-Launch-PlayStation-5/dp/B0C7WNMCSC,$69.00,,
,15,1,Games,Stardew Valley: The Board Game,https://shop.stardewvalley.net/products/pre-order-stardew-valley-the-board-game-3rd-printing,$50.00,,
,16,1,Kitchen,Blowtorch ,https://www.amazon.com/Sondiko-Culinary-Refillable-Adjustable-Desserts/dp/B07L8YPYQK/ref=sr_1_5?crid=39ZB79XU1KXPE&keywords=Blowtorch&qid=1694404906&sprefix=blowtorch+%2Caps%2C111&sr=8-5,$14.94,,
,16,1,Kitchen,Mythical cookbook,https://www.amazon.com/dp/0063323966?nodl=1&tag=authorweb-20&dplnkId=3aab204b-9cdf-4ca9-a144-a1df43cf53d9,$32.50,,
,16,1,Kitchen,Nut and oat milk maker,https://www.amazon.com/dp/B0C6G93F4W?ref_=cm_sw_r_apin_dp_8ZTK047AM4E7PQM0ZE50&peakEvent=4&dealEvent=1&language=en-US,$119.00,,
,16,1,Kitchen,Stardew valley cookbook,https://www.amazon.com/dp/1984862057?ref_=cm_sw_r_apin_dp_X2VKP5YF07SSKHVCBECP,$28.00,,
,16,1,Kitchen,The Official Horizon Cookbook: Tastes of the Seven Tribes (Gaming),https://www.amazon.com/dp/B0CDJB6NYD?ref_=cm_sw_r_apin_dp_PCFGY04DV2Y3YMNREVRG,$39.00,,
,16,1,Kitchen,Cookie cookbook,https://shopcookingwithkarli.com/products/cookie-lover-soft-cover-cookbook,$27.99,,
,16,1,Kitchen,Cookie cookbook,https://shopcookingwithkarli.com/products/cookie-lover-the-classic-collection-cookbook-cookie-lover-book-2-physical-copy,$27.99,,
