csv_order,Priority,Category,Item,Link,Price,Image,Notes,Black Friday Deals,Black Friday Store
14,1,Kitchen,What's for Dessert: Simple Recipes for Dessert People: A Baking Book,https://www.amazon.com/Whats-Dessert-Simple-Recipes-People/dp/1984826980/ref=sr_1_1?crid=1DTJLE2JPJKHV&dib=eyJ2IjoiMSJ9.XWcihldc7CxUpbYpI_lQOqkD4YAKUvZ9Q3vRtDbnVHR7ZhoIBRWckn6TbSYuXmgc0hmIKqTgGUZYZ6RoOL4tFeMEOiB8ZfJYEc87BbnVed7W32Z_3sTxuPeJX69fe1v6jT_9yOLVFg3EcgqrmFrZ2VI7JBYdT3B8nbvdF5eafMwPZROAYFUr04U0Qc_YVohI2HZPHB9kp04ZI8GKRB-T_Mubw4HCQMJv5noimsJHICI.t0Q1Vtq5KpWHY_9zOdC_e0tVmE09Lvh67YOyajhTYVA&dib_tag=se&keywords=claire+saffitz+cookbook&qid=1722051146&sprefix=claire+%2Caps%2C139&sr=8-1,$21.00,https://m.media-amazon.com/images/I/51pW6QCzLAL._SX342_SY445_.jpg,,,
14,1,kitchen,cheese powder,https://www.amazon.com/Cheddar-Cheese-Hoosier-Hill-Farm/dp/B008GG9ZS8/ref=mp_s_a_1_1_sspa?crid=10GSDDD8BE2IS&dib=eyJ2IjoiMSJ9.wJsNWBDS8VYxhom3v3RINyk-ja3HZZI_S9ZnbxIKOOqssPS1lPwVF1hLjygfMBXjJVEZuaMWHmuLdhY-CfypM96xS_yHtGLD40DgA7Ezc2Mhg6l45Rn60DNFr7YwBh8lEUTH9j-SPjgR-1bNZQvkZrSvCFvu0KjKjI65fdxGgiWVd2rqxeAy4IJs5k10PEzcmxcGqSQgVMzPq9zlxdJyWQ.8PV_s0HsKkrCppbwqlZxk5f4NIMZ40SXvESKTeSJrtw&dib_tag=se&keywords=hoosier+hill+farm+cheddar+cheese+powder&qid=1712365633&sprefix=hoosier+%2Caps%2C143&sr=8-1-spons&sp_csd=d2lkZ2V0TmFtZT1zcF9waG9uZV9zZWFyY2hfYXRm&psc=1,$14.99,https://m.media-amazon.com/images/I/41hS2L6rLTL._SX300_SY300_QL70_FMwebp_.jpg,,,
14,1,Kitchen,Kitchen Grade Food Scale,https://www.amazon.com/OXO-Grips-Stainless-Pull-Out-Display/dp/B079D9B82W?th=1&tag=seriouseats-onsite-prod-20&ascsubtag=5128542%7Cnbb789694d7db44028990cbcc0933e36719%7CB079D9B82W%7C1723492634059%7C%7C,$53.93,https://m.media-amazon.com/images/I/41sS0WI3j3L.__AC_SX300_SY300_QL70_FMwebp_.jpg,,,
15,1,Home,Tascam Mic,https://www.amazon.com/Tascam-DR-05X-Handheld-Recorder-Interface/dp/B07N3FC7N3?source=ps-sl-shoppingads-lpcontext&ref_=fplfs&psc=1&smid=A4KPTRK1MBYWJ,$79.00,https://m.media-amazon.com/images/I/615s0isOV7L._AC_SX679_.jpg,,,
15,1,Technology,"Corsair iCUE Lighting Node PRO RGB Lighting Controller, Multicolored",https://www.amazon.com/Corsair-iCUE-Lighting-Controller-Multicolored/dp/B01MYDTC2C/ref=sr_1_5?keywords=rgb+corsair&qid=1637291528&qsid=131-4195542-0910046&s=electronics&sr=1-5&sres=B07D1XCKWW%2CB08QSNNV5H%2CB01MYDTC2C%2CB075VGN4M1%2CB07Z9SW756%2CB07TB3R9JB%2CB07L2QSY96%2CB08FVJ7MGK%2CB08C788312%2CB07TB4J2DD%2CB08HR74WV4%2CB07VGJMQLB%2CB08SPYCCF1%2CB0829RTMKY%2CB08XJZ82Y8%2CB07RCY2GTB%2CB08W2J9JZ9%2CB07VTGSC3B%2CB08J6FC3F3%2CB082LRMY53,$64.99,https://m.media-amazon.com/images/I/61-kbiQIy6S._AC_SX425_.jpg,,,
15,1,Technology,Light bar,https://www.amazon.com/dp/B07GXB3S7Z/ref=cm_sw_r_as_gl_api_gl_i_Y4A5W7F8NDGH4P6YZ51P?linkCode=ml1&tag=alexislovitz-20,$159.00,https://m.media-amazon.com/images/I/510sm2v2IQL.__AC_SY300_SX300_QL70_FMwebp_.jpg,,,
15,1,Technology,Moca Network adapter,"https://www.amazon.com/Actiontec-MoCA-Network-Adapter-Ethernet/dp/B088KV2YYL?crid=2YKT0PCKD516N&keywords=MOCA&qid=1687739548&sprefix=mo,aps,191&sr=8-2-spons&ufe=app_do:amzn1.fos.f5122f16-c3e8-4386-bf32-63e904010ad0&sp_csd=d2lkZ2V0TmFtZT1zcF9hdGY&th=1&linkCode=sl1&tag=brettturner-20&linkId=6cbebb4eeeb209ee42030d79b02dd3ab&language=en_US&ref_=as_li_ss_tl",$159.00,https://m.media-amazon.com/images/I/51wvOvyER0L.__AC_SX300_SY300_QL70_FMwebp_.jpg,,,
15,1,Technology,Pusheen Café Series Silicone Protective Cover,https://www.amazon.com/iFace-Silicone-Protective-Character-Carabiner/dp/B09W9JWTBG?th=1,$49.00,https://m.media-amazon.com/images/I/71SO6n+i2lL._AC_SY300_SX300_.jpg,,,
16,1,Home,"Loop Engage Earplugs for Conversation – Low-Level Noise Reduction with Clear Speech – Social Gatherings, Noise Sensitivity & Parenting – 8 Ear Tips in XS/S/M/L - 16 dB & NRR 10 - Crystal https://a.co/d/b3SAJhH",https://www.amazon.com/Loop-Earplugs-Conversation-Low-Level-Reduction/dp/B0CQP3HF8Q,$34.00,https://m.media-amazon.com/images/I/51IPJd9bEHL._AC_SY450_.jpg,,,
17,1,Vinyls,"A Charlie Brown Christmas (Target Exclusive, Vinyl)",https://www.target.com/p/vince-guaraldi-trio-a-charlie-brown-christmas-target-exclusive-vinyl/-/A-87001302#lnk=sametab,$24.99,https://target.scene7.com/is/image/Target/GUEST_538df383-9e32-4ded-a0f7-6f7f77833a9a?wid=600&hei=600&qlt=80&fmt=webp,,,
